,date,team,opponent,home_player_1,home_player_2,home_player_3,home_player_4,home_player_5,home_player_6,home_player_7,home_player_8,home_player_9,home_player_10,home_player_11,away_player_1,away_player_2,away_player_3,away_player_4,away_player_5,away_player_6,away_player_7,away_player_8,away_player_9,away_player_10,away_player_11
36,2022-08-27,Manchester City,Crystal Palace,Ederson,JoãoCancelo,RúbenDias,KyleWalker,JohnStones,PhilFoden,Rodri,KevinDeBruyne,RiyadMahrez,BernardoSilva,ErlingHaaland,VicenteGuaita,TyrickMitchell,JoelWard,NathanielClyne,JoachimAndersen,MarcGuéhi,CheickDoucouré,JeffreySchlupp,EberechiEze,JordanAyew,OdsonneÉdouard
37,2022-08-28,Nottingham Forest,Tottenham Hotspur,DeanHenderson,ScottMcKenna,SteveCook,JoeWorrall,NecoWilliams,HarryToffolo,LewisO'Brien,RyanYates,MorganGibbs-White,BrennanJohnson,JesseLingard,HugoLloris,EricDier,BenDavies,DavinsonSánchez,RodrigoBentancur,Pierre-EmileHøjbjerg,IvanPerisic,EmersonRoyal,HarryKane,SonHeung-Min,DejanKulusevski
38,2022-08-27,Southampton,Manchester United,GavinBazunu,MoussaDjenepo,KyleWalker-Peters,MohammedSalisu,ArmelBella-Kotchap,JoeAribo,MohamedElyounoussi,RoméoLavia,JamesWard-Prowse,AdamArmstrong,ChéAdams,DaviddeGea,DiogoDalot,TyrellMalacia,RaphaëlVarane,LisandroMartínez,AnthonyElanga,ChristianEriksen,BrunoFernandes,JadonSancho,ScottMcTominay,MarcusRashford
39,2022-08-28,Wolverhampton Wanderers,Newcastle United,JoséSá,Jonny,MaximilianKilman,NathanCollins,NélsonSemedo,JoãoMoutinho,RúbenNeves,MatheusNunes,GonçaloGuedes,RaúlJiménez,PedroNeto,NickPope,SvenBotman,DanBurn,FabianSchär,KieranTrippier,SeanLongstaff,Joelinton,JoeWillock,ChrisWood,MiguelAlmirón,AllanSaint-Maximin
40,2022-08-31,Arsenal,Aston Villa,AaronRamsdale,BenWhite,GabrielMagalhães,WilliamSaliba,KieranTierney,GranitXhaka,MartinØdegaard,AlbertSambiLokonga,BukayoSaka,GabrielJesus,GabrielMartinelli,EmilianoMartínez,EzriKonsa,TyroneMings,MattyCash,LucasDigne,JacobRamsey,BoubacarKamara,JohnMcGinn,LeonBailey,EmilianoBuendía,OllieWatkins
41,2022-08-31,Bournemouth,Wolverhampton Wanderers,Neto,ChrisMepham,AdamSmith,JordanZemura,LloydKelly,LewisCook,RyanChristie,JeffersonLerma,MarcusTavernier,DominicSolanke,PhilipBilling,JoséSá,NathanCollins,Jonny,MaximilianKilman,NélsonSemedo,MatheusNunes,JoãoMoutinho,RúbenNeves,RaúlJiménez,GonçaloGuedes,PedroNeto
42,2022-08-30,Crystal Palace,Brentford,VicenteGuaita,JoachimAndersen,JoelWard,NathanielClyne,MarcGuéhi,MichaelOlise,CheickDoucouré,JeffreySchlupp,WilfriedZaha,EberechiEze,Jean-PhilippeMateta,DavidRaya,AaronHickey,BenMee,RicoHenry,Zanka,MathiasJensen,VitalyJanelt,ShandonBaptiste,BryanMbeumo,IvanToney,KeaneLewis-Potter
43,2022-08-30,Fulham,Brighton & Hove Albion,BerndLeno,AntoneeRobinson,TosinAdarabioyo,KennyTete,TimReam,BobbyDeCordova-Reid,JoãoPalhinha,AndreasPereira,HarrisonReed,NeeskensKebano,AleksandarMitrovic,RobertSánchez,LewisDunk,AdamWebster,JoëlVeltman,PervisEstupiñán,AlexisMacAllister,MoisésCaicedo,SollyMarch,EnockMwepu,LeandroTrossard,PascalGroß
44,2022-08-30,Leeds United,Everton,IllanMeslier,PascalStruijk,RobinKoch,DiegoLlorente,RasmusKristensen,TylerAdams,MarcRoca,JackHarrison,LuisSinisterra,BrendenAaronson,Rodrigo,JordanPickford,ConorCoady,JamesTarkowski,VitaliiMykolenko,NathanPatterson,AmadouOnana,AlexIwobi,TomDavies,DwightMcNeil,AnthonyGordon,DemaraiGray
45,2022-09-01,Leicester City,Manchester United,DannyWard,LukeThomas,WilfredNdidi,JonnyEvans,JamesJustin,JamesMaddison,KiernanDewsbury-Hall,BoubakarySoumaré,HarveyBarnes,YouriTielemans,JamieVardy,DaviddeGea,RaphaëlVarane,LisandroMartínez,DiogoDalot,TyrellMalacia,AnthonyElanga,JadonSancho,ScottMcTominay,BrunoFernandes,ChristianEriksen,MarcusRashford
46,2022-08-31,West Ham United,Tottenham Hotspur,LukaszFabianski,KurtZouma,VladimírCoufal,ThiloKehrer,AaronCresswell,DeclanRice,JarrodBowen,PabloFornals,SaïdBenrahma,TomásSoucek,MichailAntonio,HugoLloris,DavinsonSánchez,BenDavies,EricDier,YvesBissouma,IvanPerisic,Pierre-EmileHøjbjerg,EmersonRoyal,SonHeung-Min,HarryKane,DejanKulusevski
47,2022-08-31,Liverpool,Newcastle United,Alisson,AndrewRobertson,TrentAlexander-Arnold,VirgilvanDijk,JoeGomez,JordanHenderson,Fabinho,HarveyElliott,RobertoFirmino,LuisDíaz,MohamedSalah,NickPope,JamaalLascelles,MattTargett,KieranTrippier,DanBurn,JoeWillock,SeanLongstaff,Joelinton,RyanFraser,MiguelAlmirón,AlexanderIsak
48,2022-08-31,Manchester City,Nottingham Forest,Ederson,JoãoCancelo,RúbenDias,KyleWalker,JohnStones,PhilFoden,JuliánÁlvarez,Rodri,IlkayGündogan,BernardoSilva,ErlingHaaland,DeanHenderson,ScottMcKenna,NecoWilliams,CheikhouKouyaté,RenanLodi,JoeWorrall,RemoFreuler,LewisO'Brien,RyanYates,MorganGibbs-White,BrennanJohnson
